position;arithmetique;inverse;pos_1;pos_3;pos_6;pos_3_arith;pos_6_arith
1;1.00;1.00;1.00;1.00;1.00;1.00;1.00
2;0.94;0.50;0.00;1.00;1.00;0.50;0.83
3;0.88;0.33;0.00;1.00;1.00;0.33;0.67
4;0.82;0.25;0.00;0.00;1.00;0.00;0.50
5;0.76;0.20;0.00;0.00;1.00;0.00;0.33
6;0.71;0.17;0.00;0.00;1.00;0.00;0.17
7;0.65;0.14;0.00;0.00;0.00;0.00;0.00
8;0.59;0.13;0.00;0.00;0.00;0.00;0.00
9;0.53;0.11;0.00;0.00;0.00;0.00;0.00
10;0.47;0.10;0.00;0.00;0.00;0.00;0.00
11;0.41;0.09;0.00;0.00;0.00;0.00;0.00
12;0.35;0.08;0.00;0.00;0.00;0.00;0.00
13;0.29;0.08;0.00;0.00;0.00;0.00;0.00
14;0.24;0.07;0.00;0.00;0.00;0.00;0.00
15;0.18;0.07;0.00;0.00;0.00;0.00;0.00
16;0.12;0.06;0.00;0.00;0.00;0.00;0.00
17;0.06;0.06;0.00;0.00;0.00;0.00;0.00
